obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""74.4573""","=""0.0025""","=""74.457""","=""0.003""","=""a""","=""""",,"=""0.000""","=""134305""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).20p""","=""2[1/2]*""","=""1""",,"=""""","=""L2725""",
"=""74.4810""","=""0.0009""","=""74.4810""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""134262.4""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).19p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""74.5308""","=""0.0009""","=""74.5308""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""134172.7""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).18p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""74.5834""","=""0.0009""","=""74.5834""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""134078.1""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).17p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""74.6533""","=""0.0009""","=""74.6533""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133952.6""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).16p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""74.6543""","=""0.0025""","=""74.6542""","=""0.0022""","=""a""","=""""",,"=""0.000""","=""133951""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).13f""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""74.7245""","=""0.0009""","=""74.7245""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133824.9""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).12f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""74.7315""","=""0.0009""","=""74.7315""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133812.4""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).15p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""74.8338""","=""0.0009""","=""74.8338""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133629.5""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).11f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""74.8520""","=""0.0009""","=""74.8520""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133597.0""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).14p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""74.9814""","=""0.0009""","=""74.9814""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133366.4""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).10f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""74.9960""","=""0.0025""","=""74.9963""","=""0.0022""","=""a""","=""""",,"=""0.000""","=""133340""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).13p""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""75.0040""","=""0.0009""","=""75.0040""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133326.2""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).13p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""75.1788""","=""0.0009""","=""75.1788""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""133016.2""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).9f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""75.2070""","=""0.0025""","=""75.2072""","=""0.0023""","=""a""","=""""",,"=""0.000""","=""132966""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).12p""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""75.2272""","=""0.0009""","=""75.2272""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""132930.6""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).12p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""75.4788""","=""0.0009""","=""75.4788""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""132487.5""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).8f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""75.5368""","=""0.0025""","=""75.5367""","=""0.0023""","=""a""","=""""",,"=""0.000""","=""132386""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).11p""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""75.5523""","=""0.0009""","=""75.5523""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""132358.6""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).11p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""75.9537""","=""0.0009""","=""75.9537""","=""0.0009""","=""a""","=""""",,"=""0.000""","=""131659.2""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).7f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
