obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
"=""350.497""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""357.056""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""357.182""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""361.807""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""363.652""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""370.274""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""375.267""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""387.335""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""393.183""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""398.182""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""398.223""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""603.578""","=""""","=""3000l""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""616.256""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""635.861""","=""""","=""3000l""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""637.925""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""643.897""","=""""","=""3000l""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""679.275""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""694.572""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""696.009""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""696.178""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""699.273""","=""""","=""3000s""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""707.627""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""710.094""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""711.489""","=""""","=""10000s""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""717.155""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""722.713""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""731.879""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""736.825""","=""""","=""10000l""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""747.189""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""749.315""","=""""","=""10000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""755.826""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""760.820""","=""""","=""10000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""762.679""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""763.518""","=""""","=""10000s""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""766.934""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""767.920""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""774.919""","=""""","=""10000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""787.295""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""794.556""","=""""","=""3000l""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""803.934""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""809.984""","=""""","=""10000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""819.904""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""827.187""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""835.898""","=""""","=""3000s""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""836.960""","=""""","=""3000s""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""844.104""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""853.266""","=""""","=""10000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""857.296""","=""""","=""10000s""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""863.991""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""865.351""","=""""","=""3000w""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""873.527""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""1092.332""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""1179.173""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""1434.476""","=""""","=""10000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
"=""1847.861""","=""""","=""3000""","=""""",,"=""""","=""""",,"=""""","=""u2""",
