Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4d9""","=""2D""","=""5/2""","=""""","=""0.000""","=""""","=""""","=""""","=""  99                                              ""","=""L11817"""
"=""4d9""","=""2D""","=""3/2""","=""""","=""3539.242""","=""""","=""""","=""""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""9/2""","=""""","=""25084.270""","=""""","=""""","=""1.330""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""7/2""","=""""","=""27097.084""","=""""","=""""","=""1.248""","=""  92                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""5/2""","=""""","=""28929.419""","=""""","=""""","=""1.031""","=""  96                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""3/2""","=""""","=""29948.151""","=""""","=""""","=""0.424""","=""  93                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""2F""","=""7/2""","=""""","=""32280.538""","=""""","=""""","=""1.148""","=""  91                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""2F""","=""5/2""","=""""","=""34424.689""","=""""","=""""","=""1.096""","=""  53         :    24  4d8.(1D).5s            2D   ""","=""L11817"""
"=""4d8.(3P).5s""","=""4P""","=""5/2""","=""""","=""36284.285""","=""""","=""""","=""1.323""","=""  59         :    36  4d8.(3F).5s            2F   ""","=""L11817"""
"=""4d8.(3P).5s""","=""4P""","=""3/2""","=""""","=""37367.964""","=""""","=""""","=""1.462""","=""  65         :    23  4d8.(1D).5s            2D   ""","=""L11817"""
"=""4d8.(3P).5s""","=""4P""","=""1/2""","=""""","=""38505.281""","=""""","=""""","=""2.666""","=""  98                                              ""","=""L11817"""
"=""4d8.(1D).5s""","=""2D""","=""3/2""","=""""","=""39574.002""","=""""","=""""","=""1.165""","=""  48         :    34  4d8.(3P).5s            4P   ""","=""L11817"""
"=""4d8.(1D).5s""","=""2D""","=""5/2""","=""""","=""41201.082""","=""""","=""""","=""1.239""","=""  70         :    18  4d8.(3P).5s            4P   ""","=""L11817"""
"=""4d8.(3P).5s""","=""2P""","=""3/2""","=""""","=""43650.509""","=""""","=""""","=""1.220""","=""  77         :    20  4d8.(1D).5s            2D   ""","=""L11817"""
"=""4d8.(3P).5s""","=""2P""","=""1/2""","=""""","=""43942.864""","=""""","=""""","=""0.681""","=""  97                                              ""","=""L11817"""
"=""4d8.(1G).5s""","=""2G""","=""9/2""","=""""","=""44508.604""","=""""","=""""","=""1.099""","=""  99                                              ""","=""L11817"""
"=""4d8.(1G).5s""","=""2G""","=""7/2""","=""""","=""44616.592""","=""""","=""""","=""0.886""","=""  98                                              ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""7/2""","=""""","=""65250.309""","=""""","=""""","=""1.40""","=""  84         :     7  4d8.(3F).5p            4F*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""5/2""","=""""","=""67964.621""","=""""","=""""","=""1.328""","=""  80         :     7  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""3/2""","=""""","=""70122.300""","=""""","=""""","=""1.168""","=""  84         :     9  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""1/2""","=""""","=""71181.651""","=""""","=""""","=""0.038""","=""  82         :    11  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2G*""","=""9/2""","=""""","=""67301.702""","=""""","=""""","=""1.17""","=""  38         :    41  4d8.(3F).5p            4G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2G*""","=""7/2""","=""""","=""74321.209""","=""""","=""""","=""0.99""","=""  45         :    19  4d8.(3F).5p            4G*  ""","=""L11817"""
